level,split,env_id,horizon,cap,base_seed,theta,alpha,c,n_envs,n_episodes,regret,regret_se,k_final,search_frac,is_argmin
env,val,beta_good_common,50,64,5001000,0.6,0.75,3.0,1,2000,0.13701137135922908,0.0021583495408047577,2.656,0.013666666666666666,False
env,val,beta_good_common,50,64,5001000,0.625,0.5,4.0,1,2000,0.12647874526679515,0.002079875643217087,2.9775,0.020364583333333332,False
env,val,beta_good_common,50,64,5001000,0.625,0.5,6.0,1,2000,0.12647874526679515,0.002079875643217087,2.9775,0.020364583333333332,False
env,val,beta_good_common,50,64,5001000,0.625,0.5,8.0,1,2000,0.12647874526679515,0.002079875643217087,2.9775,0.020364583333333332,False
env,val,beta_good_common,50,64,5001000,0.625,0.75,1.5,1,2000,0.12647874526679515,0.002079875643217087,2.9775,0.020364583333333332,False
env,val,beta_good_common,50,64,5001000,0.625,0.75,1.0,1,2000,0.12647874526679515,0.002079875643217087,2.9775,0.020364583333333332,False
env,val,beta_good_common,50,64,5001000,0.625,0.75,3.0,1,2000,0.12647874526679515,0.002079875643217087,2.9775,0.020364583333333332,False
env,val,beta_good_common,50,64,5001000,0.625,0.75,2.0,1,2000,0.12647874526679515,0.002079875643217087,2.9775,0.020364583333333332,False
env,val,beta_good_common,50,64,5001000,0.65,0.5,3.0,1,2000,0.12250981405377388,0.0020287741734134335,3.111,0.02314583333333333,False
env,val,beta_good_common,50,64,5001000,0.65,0.5,4.0,1,2000,0.12250981405377388,0.0020287741734134335,3.111,0.02314583333333333,False
env,val,beta_good_common,50,64,5001000,0.65,0.5,6.0,1,2000,0.12250981405377388,0.0020287741734134335,3.111,0.02314583333333333,False
env,val,beta_good_common,50,64,5001000,0.65,0.5,8.0,1,2000,0.12250981405377388,0.0020287741734134335,3.111,0.02314583333333333,False
env,val,beta_good_common,50,64,5001000,0.65,0.75,1.0,1,2000,0.12250981405377388,0.0020287741734134335,3.111,0.02314583333333333,False
env,val,beta_good_common,50,64,5001000,0.65,0.75,1.5,1,2000,0.12250981405377388,0.0020287741734134335,3.111,0.02314583333333333,False
env,val,beta_good_common,50,64,5001000,0.65,0.75,2.0,1,2000,0.12250981405377388,0.0020287741734134335,3.111,0.02314583333333333,False
env,val,beta_good_common,50,64,5001000,0.675,0.5,3.0,1,2000,0.098389080286026,0.0019430792092283878,22.0,0.41666666666666674,False
env,val,beta_good_common,50,64,5001000,0.65,0.75,3.0,1,2000,0.12250981405377388,0.0020287741734134335,3.111,0.02314583333333333,False
env,val,beta_good_common,50,64,5001000,0.675,0.5,4.0,1,2000,0.10834444585442543,0.0020565559420318846,29.0,0.5625,False
env,val,beta_good_common,50,64,5001000,0.675,0.5,6.0,1,2000,0.15254334343969822,0.0025620961648164836,43.0,0.8541666666666665,False
env,val,beta_good_common,50,64,5001000,0.675,0.5,8.0,1,2000,0.21569142806529998,0.003222281222372662,50.0,1.0,False
env,val,beta_good_common,50,64,5001000,0.675,0.75,1.0,1,2000,0.09370254738628864,0.0018471033919935606,19.0,0.3541666666666667,False
env,val,beta_good_common,50,64,5001000,0.675,0.75,1.5,1,2000,0.10834444585442543,0.0020565559420318846,29.0,0.5625,False
